City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Dali,CN,60.67,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
71,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
73,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
74,Sambava,MG,68.18,clear sky,-14.2667,50.1667,Melrose
75,Bredasdorp,ZA,50.2,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
76,Port Macquarie,AU,58.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
77,Faanui,PF,77.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Balkanabat,TM,72.97,clear sky,39.5108,54.3671,Nebitchi Hotel
79,Wanning,CN,79.16,overcast clouds,18.8003,110.3967,Paradise Hotel
80,Sao Joao Da Barra,BR,77.09,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
81,Hualmay,PE,65.44,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
82,Puerto Palomas,MX,77.68,clear sky,31.7667,-107.6167,Hotel San Carlos
83,Una,IN,77.16,broken clouds,20.8167,71.0333,Hotel Harbhole
85,Pachino,IT,70.79,clear sky,36.7186,15.0907,Il Veliero
86,Isabela,PH,80.31,overcast clouds,6.7085,121.9711,Isawad Resort
87,Saldanha,ZA,53.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
88,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
89,Nasice,HR,54.75,few clouds,45.4886,18.0878,Sobe Markovac
90,Isangel,VU,73.94,few clouds,-19.55,169.2667,Tanna Lodge
91,Pombia,IT,64.13,clear sky,45.653,8.6336,Albergo Fontana
92,Tigil,RU,45.1,overcast clouds,57.8,158.6667,Tigil'
94,Dedougou,BF,85.68,few clouds,12.4667,-3.4667,Hôtel Bon Séjour
95,Nongstoin,IN,63.39,overcast clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
96,Bengkulu,ID,74.71,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
97,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Cape Town,ZA,58.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
100,Port Lincoln,AU,56.88,few clouds,-34.7333,135.8667,Port Lincoln Hotel
101,Nagato,JP,68.94,overcast clouds,34.3833,131.2,いそう庵
103,Mitsamiouli,KM,75.76,few clouds,-11.3847,43.2844,Foyer ADM
106,Los Llanos De Aridane,ES,74.95,overcast clouds,28.6585,-17.9182,Valle Aridane
108,Kruisfontein,ZA,53.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
109,Zunyi,CN,67.05,clear sky,27.6867,106.9072,Bishiluo Hostel
110,Nikolayevka,RU,46.4,overcast clouds,53.1257,47.2041,"Hotel ""Prestige"""
111,Moree,AU,58.28,moderate rain,-29.4667,149.85,Molika Springs Motel
112,Nikolskoye,RU,43.81,broken clouds,59.7035,30.7861,Tourist House - Sablino
114,Naryan-Mar,RU,40.21,overcast clouds,67.6713,53.087,Hostel Agat
115,Annau,TM,62.1,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
116,East London,ZA,63.37,clear sky,-33.0153,27.9116,Tu Casa
118,Sitka,US,57.09,broken clouds,57.0531,-135.33,Westmark Sitka
119,Florida,US,80.91,scattered clouds,28.7505,-82.5001,Sportsmens Cove
120,Carnarvon,AU,66.45,clear sky,-24.8667,113.6333,Hospitality Carnarvon
121,Romny,UA,47.12,overcast clouds,50.751,33.4747,Floriana
122,Broome,US,56.14,overcast clouds,42.2506,-75.833,Chenango Valley State Park
123,Lander,US,68.11,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
125,Shizuishan,CN,49.14,overcast clouds,39.2333,106.7694,Xingji Hotel
126,Acapulco,MX,84.83,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
127,Maragogi,BR,76.26,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
128,Lebu,CL,53.26,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
129,Nchelenge,ZM,76.26,few clouds,-9.3451,28.734,KD Travellers Home
130,Margate,GB,61.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
131,Rosarito,MX,82.63,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
132,Richards Bay,ZA,68.45,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
133,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,hotel la terminal
134,Ponta Do Sol,PT,74.71,few clouds,32.6667,-17.1,Hotel do Campo
135,Mecca,SA,85.8,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
137,Aviles,ES,65.37,broken clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
138,Kenai,US,48.29,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
139,Half Moon Bay,US,78.62,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
140,Norfolk,US,57.88,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
141,Lichuan,CN,59.23,overcast clouds,30.3,108.85,Yuanlai Homestay
142,Saint George,US,81.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
143,Vuktyl,RU,44.1,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
145,Elliot Lake,CA,67.39,broken clouds,46.3834,-82.6331,Paris Plaza
146,Hami,CN,57.74,overcast clouds,42.8,93.45,Laoyutang Resort
147,Carutapera,BR,82.49,scattered clouds,-1.195,-46.02,Lidera
148,Alto Araguaia,BR,86.11,light rain,-17.3147,-53.2153,Araguaia Palace Hotel
150,Santa Fe,AR,81.01,clear sky,-31.6333,-60.7,Conquistador Hotel
152,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
153,Yamada,JP,62.13,light rain,39.4667,141.95,Iroha-ya Inn
154,Ornes,NO,49.39,light rain,66.8689,13.7078,Ørnes Hotell AS
155,Arraial Do Cabo,BR,75.06,light rain,-22.9661,-42.0278,Pousada Porto Praia
156,Lao Cai,VN,72.52,few clouds,22.4833,103.95,Legend Hotel
157,Torbay,CA,58.57,clear sky,47.6666,-52.7314,Gallows Cove
159,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
163,Concarneau,FR,63.82,overcast clouds,47.875,-3.9225,Brit Hotel de L' Océan
165,Pushkinskiye Gory,RU,42.94,overcast clouds,57.0209,28.9103,"The recreation center ""Pushkinogorye"""
166,Nigde,TR,56.41,scattered clouds,37.8333,34.75,Kılavuz köyü Texas
167,Lompoc,US,86.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
168,San Quintin,MX,73.54,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
169,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
170,Kloulklubed,PW,83.53,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
171,Bucerias,MX,87.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
172,Grindavik,IS,44.55,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
174,Lorengau,PG,81.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
175,Alyangula,AU,78.76,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
176,Katherine,AU,73.72,clear sky,-14.4667,132.2667,Pine Tree Motel
177,Roald,NO,54.91,light rain,62.5833,6.1333,Flem Cabins
179,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
180,Anchorage,US,52.68,clear sky,61.2181,-149.9003,Hotel Captain Cook
181,Tautira,PF,76.1,light rain,-17.7333,-149.15,Pension Oaoa
182,Vardo,NO,44.58,scattered clouds,70.3705,31.1107,Vardø Hotel AS
183,Sept-Iles,CA,54.12,broken clouds,50.2001,-66.3821,Comfort Inn
184,Lardos,GR,75.02,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
185,Freeport,US,57.09,mist,40.6576,-73.5832,The Freeport Inn and Marina
186,Demyansk,RU,42.31,overcast clouds,57.643,32.466,Demyanskaya Gostinitsa
187,Sur,OM,79.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
188,Ukiah,US,88.38,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
189,Buala,SB,80.85,light rain,-8.145,159.5921,Maringe Lagoon Lodge
192,College,US,49.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
193,Turayf,SA,79.05,clear sky,31.6725,38.6637,Al Mudawah Hotel
194,Saint-Georges,GD,82.87,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
195,La Ronge,CA,59.25,smoke,55.1001,-105.2842,Northland Motor Hotel
196,Eston,CA,71.92,scattered clouds,51.1501,-108.7514,Hearthside Place B&B
198,Juneau,US,57.11,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
199,Daru,PG,79.23,overcast clouds,-9.0763,143.2092,Daru Lodge
200,San Luis,AR,80.58,clear sky,-33.295,-66.3356,Huarpes Hotel
202,Saint Anthony,US,78.78,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
203,Gravdal,NO,53.49,light rain,68.1214,13.5031,Skreda Rorbusuiter
204,Morant Bay,JM,87.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
205,Pag,HR,54.18,clear sky,44.445,15.0575,Hotel Meridijan
206,Cordoba,AR,84.76,few clouds,-31.4135,-64.1811,Hotel Sussex
207,Khani,GE,56.77,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
208,Sri Aman,MY,73.26,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
209,Rjukan,NO,53.04,light rain,59.8789,8.5941,Rjukan Gjestehus
210,Charlestown,AU,63.73,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
212,Yuci,CN,46.15,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
213,North Bend,US,59.07,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
214,Arboletes,CO,85.59,overcast clouds,8.8505,-76.4269,Hotel Playa Star
215,Olinda,BR,80.33,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
216,Pisco,PE,66.25,haze,-13.7,-76.2167,Hotel San Isidro Oficial
218,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
220,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
221,Rawson,AR,69.91,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
222,Moche,PE,62.78,fog,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
224,Masuda,JP,67.12,overcast clouds,34.6667,131.85,Masuda Green Hotel Morris
225,Codrington,AU,53.13,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
226,Shimoda,JP,75.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
228,Castro,BR,70.5,clear sky,-24.7911,-50.0119,CHACARA BAILLY
229,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
230,Coffs Harbour,AU,60.76,overcast clouds,-30.3,153.1333,Aquajet Motel
231,Nouakchott,MR,85.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN
232,Lazaro Cardenas,MX,83.55,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
233,Skibbereen,IE,59.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
234,Fort Nelson,CA,47.79,smoke,58.8053,-122.7002,The Fort Nelson Hotel
235,Bakal,RU,40.51,overcast clouds,54.9417,58.8083,Gostinitsa Ekonom-Klassa
236,Zhuhai,CN,82.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
240,Krasnoarmeysk,RU,50.99,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
241,Jiujiang,CN,60.15,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
243,Salalah,OM,78.39,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
244,Rantepao,ID,65.55,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
245,Nichinan,JP,74.28,scattered clouds,31.6,131.3667,Guest House Aki
246,Kuching,MY,75.42,light rain,1.55,110.3333,Hilton Kuching
247,Kuhdasht,IR,70.27,clear sky,33.535,47.6061,فروشگاه زنبیل
248,Qeshm,IR,84.09,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
249,Chepareria,KE,63.55,light rain,1.3077,35.2039,Hamza Lodge
250,Ucluelet,CA,61.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
251,Kulhudhuffushi,MV,81.48,overcast clouds,6.6221,73.07,Haajy Guest House 1
252,Kot Kapura,IN,75.52,clear sky,30.5833,74.9,Dr. Darshan Lal
253,Ilinskiy,RU,48.54,scattered clouds,55.619,38.1182,Around the world
254,Esperance,AU,56.32,clear sky,-33.8667,121.9,Hospitality Esperance
255,Camana,PE,62.92,broken clouds,-16.6228,-72.7111,Hostal Morales
257,Klaksvik,FO,49.12,clear sky,62.2266,-6.589,Airbnb rooms
259,Plainview,US,56.59,light rain,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
260,Goya,AR,81.1,clear sky,-29.14,-59.2626,Apart Costanera Goya
261,Padang,ID,74.41,overcast clouds,-0.9492,100.3543,Mercure Padang
262,Leshukonskoye,RU,43.59,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
263,Ambilobe,MG,69.35,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
266,Harqalah,TN,75.06,clear sky,36.0303,10.509,Dar Khadija
267,Ambulu,ID,76.33,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
268,Huarmey,PE,66.69,few clouds,-10.0681,-78.1522,Hotel Miramar
269,Kualakapuas,ID,73.74,overcast clouds,-3.0091,114.3876,Guest House Izonk
271,Samarai,PG,80.17,overcast clouds,-10.6167,150.6667,Nuli Sapi
272,Katsuura,JP,77.43,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
273,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
274,Bodden Town,KY,88.0,few clouds,19.2833,-81.25,Will T Place
275,Kandrian,PG,76.05,light rain,-6.2167,149.55,Kandrian Station
277,Wanlaweyn,SO,76.78,few clouds,2.6185,44.8938,GAASHAAN HOME
279,Ocos,GT,83.37,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
280,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
282,Havoysund,NO,44.83,clear sky,70.9963,24.6622,Arctic View Glamping & Restaurant
283,Asau,RO,49.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
284,General Roca,AR,70.7,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
285,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
286,Toamasina,MG,68.0,broken clouds,-18.1667,49.3833,Hotel H1
288,Chuy,UY,61.27,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
289,Hofn,IS,46.9,overcast clouds,64.2539,-15.2082,Hótel Höfn
291,Ihosy,MG,69.66,clear sky,-22.4,46.1167,Tamana hôtel
292,Santander,ES,64.45,overcast clouds,43.4647,-3.8044,Abba Santander Hotel
293,Nome,US,44.17,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
295,Tual,ID,82.09,light rain,-5.6667,132.75,Grand Vilia Hotel
297,Newport,GB,63.14,light rain,51.5877,-2.9984,ibis budget Newport
298,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
301,Cabras,IT,67.17,clear sky,39.93,8.5314,Hotel Villa Canu
302,Manono,CD,78.26,light rain,-7.3,27.4167,Hotel hewa bora
303,Hoshcha,UA,48.6,scattered clouds,50.6003,26.6744,TIR parking
304,Rio Gallegos,AR,59.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
305,Rosetown,CA,75.65,scattered clouds,51.5501,-108.0014,Travelodge by Wyndham Rosetown
306,Erzin,TR,71.73,clear sky,36.9559,36.2,Artemis Otel
307,Bonavista,CA,58.01,clear sky,48.6499,-53.1147,Sweet Sharons bnb
309,Cockburn Town,TC,83.79,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
310,Esmeralda,CU,86.77,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
311,Urumqi,CN,41.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
312,Touros,BR,78.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
313,Tanem,NO,49.89,light rain,63.3078,10.4319,Sandmoen Bed & Breakfast
314,Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
315,Murgab,TM,58.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
316,Namibe,AO,65.95,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
317,Chilca,PE,62.17,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
318,Nishihara,JP,78.08,clear sky,26.1842,127.7558,Minshuku Agaihama
319,Jian,CN,67.59,overcast clouds,27.1172,114.9793,Luling International Hotel
320,Santiago De Cao,PE,62.73,fog,-7.9589,-79.2392,Casa de la tía
321,Makushino,RU,43.95,few clouds,55.2103,67.2442,Cristina Hotel
322,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
323,Fortuna,US,59.67,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
324,Kruje,AL,48.22,clear sky,41.5092,19.7928,Hotel Panorama Kruje
325,Roman,RO,54.09,overcast clouds,46.9167,26.9167,MOTEL CASA ROMASCANA
328,Nouadhibou,MR,76.98,haze,20.931,-17.0347,El Medina
330,Safonovo,RU,41.18,light rain,55.15,33.2167,"Motel' ""Kristal"""
331,Peterborough,GB,63.36,overcast clouds,52.5736,-0.2478,Park Inn by Radisson Peterborough Hotel
332,Meulaboh,ID,73.67,light rain,4.1363,96.1285,Kost Pria
333,Shahrud,IR,68.67,clear sky,36.4182,54.9763,Royal Hotel
334,Muisne,EC,77.79,overcast clouds,0.6,-80.0333,Quinta Samay
335,Sorata,BO,54.36,broken clouds,-15.7667,-68.6333,El Encanto Sorata
336,Puerto Madero,MX,83.43,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
337,Makat,KZ,57.0,overcast clouds,47.6469,53.3463,Umit
338,Chitrakonda,IN,71.42,overcast clouds,18.1167,82.0833,Dantunaguda
339,Seoul,KR,58.39,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
340,Benjamin Hill,MX,82.26,clear sky,30.1667,-111.1,Hotel Benjamín Hill
341,Abha,SA,68.25,clear sky,18.2164,42.5053,Abha Hotel
342,Dalbandin,PK,74.75,clear sky,28.8947,64.4101,Sanjrani House
344,Hargeysa,SO,71.49,scattered clouds,9.56,44.065,City Center Hotel
345,Slave Lake,CA,55.38,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
346,Jalu,LY,76.37,clear sky,29.0331,21.5482,صاحبة الفخامة
347,Dhidhdhoo,MV,81.59,overcast clouds,6.8833,73.1,Dhidhoo beach
349,Siteki,SZ,63.52,overcast clouds,-26.45,31.95,Siteki Hotel
350,Kolokani,ML,85.23,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
353,Hambantota,LK,79.25,overcast clouds,6.1241,81.1185,Bungalow 63
354,Lipin Bor,RU,50.59,overcast clouds,60.2622,37.9763,Priozor'ye
355,Juegang,CN,65.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
356,Ratnagiri,IN,78.64,overcast clouds,16.9833,73.3,Hotel Landmark
357,Necochea,AR,65.82,few clouds,-38.5473,-58.7368,dyd -mar Hotel
358,Vao,NC,68.23,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
359,Marawi,PH,67.87,overcast clouds,7.9986,124.2928,Derogongan Residence
360,Mahajanga,MG,71.62,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
361,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
362,Zwedru,LR,73.85,broken clouds,6.0667,-8.1281,Elijah Worjloh
363,Ransang,PH,78.22,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
364,Jawhar,SO,75.94,scattered clouds,2.7809,45.5005,Hotel Shabelle
365,Sinnamary,GF,82.17,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
367,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
368,Timra,SE,52.68,light rain,62.487,17.3257,Bergefors park
369,Portland,US,60.84,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
370,Roebourne,AU,70.83,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
371,Severnyy,RU,46.44,broken clouds,50.677,36.5532,Full House North Mini-Hotel
372,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
373,Hadejia,NG,87.1,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
374,Uthal,PK,81.05,scattered clouds,25.8072,66.6219,Al-Mustafa Hotel
375,Melfi,IT,56.59,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
376,Jauharabad,PK,82.72,clear sky,32.2898,72.2813,MashaAllah Mobiles
378,Quatre Cocos,MU,72.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
379,Bikaner,IN,84.33,scattered clouds,28.0167,73.3,The Laxmi Niwas Palace
380,Deulgaon Raja,IN,73.06,overcast clouds,20.0167,76.0333,Hotel YOGIRAJ LODGING & BOARDIING
381,Puerto Escondido,MX,84.72,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
382,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
383,Havelock,US,64.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
384,Fukue,JP,72.79,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
386,Batticaloa,LK,81.27,overcast clouds,7.7102,81.6924,Grand Star Guest House
387,Cidreira,BR,62.69,clear sky,-30.1811,-50.2056,Hotel Castelo
388,Zhangye,CN,52.57,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
389,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
390,Sal Rei,CV,80.8,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
391,Sorland,NO,53.46,light rain,67.667,12.6934,Sjybrygga fiskecamp
392,Gladstone,AU,64.33,scattered clouds,-23.85,151.25,Highpoint International Hotel
393,Ahipara,NZ,55.9,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
394,Turbat,PK,80.4,clear sky,26.0023,63.044,Mubashar Quarters
396,Saint-Denis,FR,63.1,broken clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
